data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,test_f1_macro,test_f1_macro_std,val_f1_macro,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc
ami,5,multi,2245,11.21,"{'0_discredit': 0.514, '1_stereotype': 0.142, '2_dominance': 0.121, '3_sexual harassment': 0.176, '4_derailing': 0.046}",th,-,-,-,-,-,-,-,53.83,0.79,52.7,98.51,99.47,98.24,97.29,98.99,98.54,99.03,98.76,99.03,98.27,99.03,99.75,76.3,46.3,32.36,51.95,56.6,63.09,51.39,65.37,55.43,63.09,50.54,63.97,81.66,49.94,57.02,16.58,64.28,54.35,65.43,55.25,64.28,56.1
ami,5,multi,2245,11.21,"{'0_discredit': 0.514, '1_stereotype': 0.142, '2_dominance': 0.121, '3_sexual harassment': 0.176, '4_derailing': 0.046}",sampling_modifiedRS_undersampling,3.0,-,-,-,-,-,-,54.46,1.45,53.51,98.49,97.17,99.01,99.11,98.15,99.04,98.26,98.38,98.26,98.61,98.26,99.62,77.36,44.36,39.35,54.05,52.41,65.25,56.64,65.67,52.23,65.25,51.68,64.68,83.63,39.75,50.19,34.04,62.97,58.94,66.74,56.23,62.97,58.01
ami,5,multi,2245,11.21,"{'0_discredit': 0.514, '1_stereotype': 0.142, '2_dominance': 0.121, '3_sexual harassment': 0.176, '4_derailing': 0.046}",baseline,-,-,-,-,-,-,-,54.65,2.35,52.51,98.75,99.61,99.25,97.42,98.92,98.57,99.2,98.92,99.21,98.61,99.2,99.73,78.46,47.08,32.89,52.23,51.89,65.55,54.77,65.03,51.44,65.55,50.45,66.18,85.77,43.97,53.59,23.75,65.29,59.47,68.14,55.3,65.29,57.12
ami,5,multi,2245,11.21,"{'0_discredit': 0.514, '1_stereotype': 0.142, '2_dominance': 0.121, '3_sexual harassment': 0.176, '4_derailing': 0.046}",augmentation_abusive_lexicon,-,-,7.5,0.3,5,-,-,55.61,3.31,54.35,99.18,99.67,99.12,98.05,99.24,99.84,99.42,99.31,99.42,99.06,99.42,99.81,78.31,48.68,36.37,53.65,54.76,66.14,56.56,65.77,52.84,66.14,51.83,66.66,85.02,44.88,55.6,25.88,65.43,58.45,68.47,57.16,65.43,57.28
ami,5,multi,2245,11.21,"{'0_discredit': 0.514, '1_stereotype': 0.142, '2_dominance': 0.121, '3_sexual harassment': 0.176, '4_derailing': 0.046}",sampling_modifiedRS_oversampling,3.0,-,-,-,-,-,-,55.7,1.68,53.65,99.79,99.74,99.87,99.93,99.43,100.0,99.78,99.83,99.78,99.76,99.78,99.96,77.21,48.34,38.23,52.24,52.22,64.88,55.87,65.29,52.68,64.88,54.15,65.73,84.46,45.08,55.18,28.04,65.07,58.58,67.51,57.03,65.07,57.98
ami,5,multi,2245,11.21,"{'0_discredit': 0.514, '1_stereotype': 0.142, '2_dominance': 0.121, '3_sexual harassment': 0.176, '4_derailing': 0.046}",fl,-,-,-,-,-,-,0.2,56.44,0.76,54.0,98.38,99.58,98.63,96.51,99.37,97.81,99.1,98.6,99.1,98.17,99.1,99.52,76.5,47.97,33.89,52.37,59.28,64.43,54.91,65.02,54.2,64.43,50.93,67.06,84.39,48.82,57.32,24.63,66.59,60.55,69.05,57.54,66.59,56.28
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",sampling_modifiedRS_undersampling,3.0,-,-,-,-,-,-,73.97,2.66,79.88,98.74,99.37,98.12,0.0,0.0,0.0,99.06,98.69,99.07,98.81,99.06,99.87,96.79,62.97,0.0,0.0,0.0,94.1,80.32,94.12,79.67,94.1,80.21,95.71,52.23,0.0,0.0,0.0,92.13,73.34,92.37,74.8,92.13,77.39
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",th,-,-,-,-,-,-,-,75.27,2.12,78.11,99.13,99.86,98.4,0.0,0.0,0.0,99.74,99.1,99.75,99.16,99.74,99.93,96.84,59.38,0.0,0.0,0.0,94.13,81.29,93.68,75.7,94.13,78.12,96.17,54.36,0.0,0.0,0.0,92.93,76.03,92.75,74.66,92.93,77.44
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,5.0,0.1,3,-,-,75.67,0.96,79.02,99.6,99.87,99.34,0.0,0.0,0.0,99.78,99.63,99.78,99.58,99.78,99.99,96.63,61.41,0.0,0.0,0.0,93.8,78.93,93.83,79.13,93.8,82.07,95.84,55.5,0.0,0.0,0.0,92.4,74.38,92.88,77.23,92.4,78.74
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",sampling_modifiedRS_oversampling,5.0,-,-,-,-,-,-,75.85,2.6,78.84,99.47,99.83,99.12,0.0,0.0,0.0,99.71,99.51,99.71,99.44,99.71,99.96,96.93,60.76,0.0,0.0,0.0,94.3,82.33,93.94,76.36,94.3,82.3,96.28,55.42,0.0,0.0,0.0,93.13,77.4,92.97,74.77,93.13,78.51
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",baseline,-,-,-,-,-,-,-,75.99,0.46,78.25,98.51,99.76,97.26,0.0,0.0,0.0,99.57,98.73,99.56,98.3,99.57,99.7,96.7,59.81,0.0,0.0,0.0,93.9,80.31,93.72,76.9,93.9,80.72,95.94,56.04,0.0,0.0,0.0,92.57,75.09,93.01,77.32,92.57,80.33
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",fl,-,-,-,-,-,-,0.5,76.75,0.91,79.42,99.13,99.86,98.41,0.0,0.0,0.0,99.74,99.04,99.75,99.22,99.74,99.86,96.9,61.94,0.0,0.0,0.0,94.27,81.37,94.01,77.86,94.27,82.5,96.29,57.2,0.0,0.0,0.0,93.17,76.81,93.16,76.69,93.17,79.04
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_external_data_preprocessing,-,-,2.0,-,-,-,-,76.77,3.04,79.5,99.7,99.8,99.6,0.0,0.0,0.0,99.73,99.71,99.73,99.69,99.73,99.97,96.96,62.04,0.0,0.0,0.0,94.37,82.18,94.08,77.54,94.37,82.39,96.34,57.21,0.0,0.0,0.0,93.27,77.51,93.28,76.75,93.27,80.8
cmsb-tsd,2,bin,13631,6.54,"{'0_non-sexist': 0.867, '1_sexist': 0.133}",sampling_modifiedRS_undersampling,5.8,-,-,-,-,-,-,84.33,0.62,85.14,99.03,99.71,98.34,0.0,0.0,0.0,99.51,98.98,99.51,99.08,99.51,99.82,95.69,74.59,0.0,0.0,0.0,92.64,83.3,93.41,87.8,92.64,89.76,95.57,73.09,0.0,0.0,0.0,92.4,82.91,92.96,86.34,92.4,89.78
cmsb-tsd,2,bin,13631,6.54,"{'0_non-sexist': 0.867, '1_sexist': 0.133}",baseline,-,-,-,-,-,-,-,84.36,0.53,84.99,98.51,99.61,97.42,0.0,0.0,0.0,99.32,98.5,99.32,98.53,99.32,99.66,95.84,74.13,0.0,0.0,0.0,92.85,84.25,93.24,86.25,92.85,90.21,95.74,72.98,0.0,0.0,0.0,92.65,84.11,92.94,85.08,92.65,90.02
cmsb-tsd,2,bin,13631,6.54,"{'0_non-sexist': 0.867, '1_sexist': 0.133}",augmentation_abusive_lexicon,-,-,3.0,0.1,3,-,-,84.59,0.46,85.13,99.46,99.73,99.2,0.0,0.0,0.0,99.6,99.47,99.6,99.46,99.6,99.97,95.71,74.54,0.0,0.0,0.0,92.66,83.12,93.31,87.66,92.66,88.4,95.71,73.47,0.0,0.0,0.0,92.62,83.43,92.98,86.0,92.62,89.48
