data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,test_f1_macro,test_f1_macro_std,val_f1_macro,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",sampling_modifiedRS_undersampling,3.0,-,-,-,-,-,-,73.97,2.66,79.88,98.74,99.37,98.12,0.0,0.0,0.0,99.06,98.69,99.07,98.81,99.06,99.87,96.79,62.97,0.0,0.0,0.0,94.1,80.32,94.12,79.67,94.1,80.21,95.71,52.23,0.0,0.0,0.0,92.13,73.34,92.37,74.8,92.13,77.39
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",th,-,-,-,-,-,-,-,75.27,2.12,78.11,99.13,99.86,98.4,0.0,0.0,0.0,99.74,99.1,99.75,99.16,99.74,99.93,96.84,59.38,0.0,0.0,0.0,94.13,81.29,93.68,75.7,94.13,78.12,96.17,54.36,0.0,0.0,0.0,92.93,76.03,92.75,74.66,92.93,77.44
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,5.0,0.1,3,-,-,75.67,0.96,79.02,99.6,99.87,99.34,0.0,0.0,0.0,99.78,99.63,99.78,99.58,99.78,99.99,96.63,61.41,0.0,0.0,0.0,93.8,78.93,93.83,79.13,93.8,82.07,95.84,55.5,0.0,0.0,0.0,92.4,74.38,92.88,77.23,92.4,78.74
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",sampling_modifiedRS_oversampling,5.0,-,-,-,-,-,-,75.85,2.6,78.84,99.47,99.83,99.12,0.0,0.0,0.0,99.71,99.51,99.71,99.44,99.71,99.96,96.93,60.76,0.0,0.0,0.0,94.3,82.33,93.94,76.36,94.3,82.3,96.28,55.42,0.0,0.0,0.0,93.13,77.4,92.97,74.77,93.13,78.51
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",baseline,-,-,-,-,-,-,-,75.99,0.46,78.25,98.51,99.76,97.26,0.0,0.0,0.0,99.57,98.73,99.56,98.3,99.57,99.7,96.7,59.81,0.0,0.0,0.0,93.9,80.31,93.72,76.9,93.9,80.72,95.94,56.04,0.0,0.0,0.0,92.57,75.09,93.01,77.32,92.57,80.33
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",fl,-,-,-,-,-,-,0.5,76.75,0.91,79.42,99.13,99.86,98.41,0.0,0.0,0.0,99.74,99.04,99.75,99.22,99.74,99.86,96.9,61.94,0.0,0.0,0.0,94.27,81.37,94.01,77.86,94.27,82.5,96.29,57.2,0.0,0.0,0.0,93.17,76.81,93.16,76.69,93.17,79.04
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_external_data_preprocessing,-,-,2.0,-,-,-,-,76.77,3.04,79.5,99.7,99.8,99.6,0.0,0.0,0.0,99.73,99.71,99.73,99.69,99.73,99.97,96.96,62.04,0.0,0.0,0.0,94.37,82.18,94.08,77.54,94.37,82.39,96.34,57.21,0.0,0.0,0.0,93.27,77.51,93.28,76.75,93.27,80.8
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",th,-,-,-,-,-,-,-,77.66,1.14,78.55,98.23,99.71,96.74,0.0,0.0,0.0,99.47,98.27,99.47,98.18,99.47,99.55,96.13,60.97,0.0,0.0,0.0,92.97,76.46,93.77,81.49,92.97,81.79,96.05,59.27,0.0,0.0,0.0,92.81,76.03,93.45,79.86,92.81,81.44
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",augmentation_external_data_preprocessing,-,-,7.5,-,-,-,-,77.88,0.65,79.28,99.31,99.84,98.77,0.0,0.0,0.0,99.71,99.35,99.71,99.26,99.71,99.92,96.7,61.85,0.0,0.0,0.0,93.93,79.81,93.84,78.83,93.93,82.5,96.6,59.15,0.0,0.0,0.0,93.72,79.43,93.46,76.6,93.72,81.34
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",augmentation_abusive_lexicon,-,-,7.5,0.3,5,-,-,78.09,0.62,79.13,98.61,99.67,97.54,0.0,0.0,0.0,99.42,98.66,99.42,98.55,99.42,99.77,96.79,61.47,0.0,0.0,0.0,94.07,80.59,93.82,77.87,94.07,82.42,96.7,59.48,0.0,0.0,0.0,93.89,80.22,93.54,76.32,93.89,81.55
civil-comments-20k,2,bin,20000,11.35,"{'0_non-toxic': 0.919, '1_toxic': 0.081}",sampling_modifiedRS_undersampling,7.5,-,-,-,-,-,-,78.73,1.7,79.27,97.23,99.35,95.11,0.0,0.0,0.0,98.85,97.22,98.85,97.24,98.85,99.2,96.49,62.05,0.0,0.0,0.0,93.58,78.91,93.97,80.42,93.57,82.87,96.41,61.05,0.0,0.0,0.0,93.43,78.48,93.77,79.54,93.43,82.17
