data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,val_f1_macro,test_f1_macro,test_f1_macro_std,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",augmentation_bert,-,-,3.0,0.1,3,-,-,88.1,87.49,0.52,99.64,99.82,99.45,0.0,0.0,0.0,99.73,99.64,99.73,99.63,99.73,99.97,98.38,77.82,0.0,0.0,0.0,96.99,89.45,96.92,86.92,96.99,91.07,98.3,76.68,0.0,0.0,0.0,96.84,88.79,96.77,86.4,96.84,91.4
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",augmentation_bert,-,-,3.0,0.1,5,-,-,87.62,87.68,0.1,99.69,99.84,99.53,0.0,0.0,0.0,99.77,99.68,99.77,99.7,99.77,99.99,98.33,76.9,0.0,0.0,0.0,96.89,89.31,96.81,86.25,96.89,91.75,98.36,77.01,0.0,0.0,0.0,96.94,89.82,96.85,85.94,96.94,91.8
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",augmentation_bert,-,-,3.0,0.3,3,-,-,86.87,87.02,0.34,99.65,99.83,99.48,0.0,0.0,0.0,99.74,99.66,99.74,99.64,99.74,99.99,98.22,75.52,0.0,0.0,0.0,96.68,88.14,96.59,85.72,96.68,90.5,98.22,75.81,0.0,0.0,0.0,96.68,87.85,96.63,86.28,96.68,91.38
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",augmentation_bert,-,-,3.0,0.3,5,-,-,86.55,86.32,0.82,99.62,99.81,99.42,0.0,0.0,0.0,99.71,99.63,99.71,99.6,99.71,99.98,98.14,74.96,0.0,0.0,0.0,96.54,87.17,96.5,85.99,96.54,90.27,98.08,74.57,0.0,0.0,0.0,96.42,86.34,96.45,86.38,96.42,90.15
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",augmentation_external_data,-,-,1.0,-,-,-,-,85.44,84.18,0.62,99.72,99.72,99.72,0.0,0.0,0.0,99.72,99.72,99.72,99.72,99.72,99.99,98.05,72.84,0.0,0.0,0.0,96.36,87.09,96.23,84.04,96.36,88.14,97.85,70.5,0.0,0.0,0.0,96.0,85.28,95.9,83.23,96.0,87.0
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",baseline,-,-,-,-,-,-,-,88.11,87.21,0.55,99.27,99.9,98.63,0.0,0.0,0.0,99.81,99.33,99.81,99.2,99.81,99.88,98.36,77.87,0.0,0.0,0.0,96.94,88.83,96.91,87.51,96.94,91.99,98.25,76.16,0.0,0.0,0.0,96.75,88.28,96.69,86.28,96.75,91.07
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",fl,-,-,-,-,-,-,0.1,88.1,87.71,0.48,99.49,99.93,99.06,0.0,0.0,0.0,99.87,99.56,99.87,99.42,99.87,99.95,98.4,77.81,0.0,0.0,0.0,97.01,89.82,96.93,86.66,97.01,91.97,98.38,77.04,0.0,0.0,0.0,96.97,90.14,96.85,85.68,96.97,91.76
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",fl,-,-,-,-,-,-,0.2,87.86,87.52,0.65,99.31,99.9,98.71,0.0,0.0,0.0,99.82,99.33,99.82,99.28,99.82,99.89,98.36,77.35,0.0,0.0,0.0,96.95,89.51,96.86,86.42,96.95,92.2,98.32,76.72,0.0,0.0,0.0,96.87,89.23,96.78,86.04,96.87,91.52
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",fl,-,-,-,-,-,-,0.5,88.21,88.01,0.63,99.39,99.91,98.86,0.0,0.0,0.0,99.84,99.47,99.84,99.31,99.84,99.92,98.45,77.97,0.0,0.0,0.0,97.11,90.99,96.98,85.85,97.11,91.53,98.44,77.59,0.0,0.0,0.0,97.09,91.02,96.95,85.5,97.09,91.58
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",fl,-,-,-,-,-,-,1.0,87.72,86.81,0.19,99.25,99.9,98.61,0.0,0.0,0.0,99.81,99.34,99.8,99.16,99.81,99.85,98.38,77.06,0.0,0.0,0.0,96.97,90.18,96.86,85.71,96.97,90.8,98.25,75.36,0.0,0.0,0.0,96.74,89.06,96.62,84.97,96.74,90.06
