data_name,num_classes,distribution,rho,size,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,wce_alpha,fl_gamma,val_f1_macro,test_f1_macro,test_f1_macro_std,train_accuracy,train_auprc,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_f1_macro,train_f1_weighted,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,val_accuracy,val_auprc,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_f1_weighted,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,test_accuracy,test_auprc,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_f1_weighted,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,baseline,-,-,-,-,78.78,68.89,1.71,96.45,87.24,82.76,97.29,94.19,96.45,87.36,96.71,98.08,76.64,0.0,0.0,0.0,94.66,73.33,77.39,94.96,80.36,94.66,94.79,97.13,60.42,0.0,0.0,0.0,92.07,63.98,67.82,92.59,70.16,92.07,92.32,95.74,42.03,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,fl,-,-,-,0.1,77.6,66.02,0.32,95.93,85.44,81.9,96.3,87.06,95.93,84.21,96.08,97.82,70.61,0.0,0.0,0.0,94.37,71.19,76.47,94.68,78.94,94.37,94.51,96.98,58.22,0.0,0.0,0.0,91.78,61.9,65.92,91.9,66.23,91.78,91.83,95.61,36.42,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,fl,-,-,-,0.2,78.47,70.1,2.77,96.11,84.63,81.92,96.9,91.9,96.11,86.0,96.37,97.89,74.1,0.0,0.0,0.0,94.14,71.85,75.5,95.02,82.6,94.14,94.49,96.84,60.11,0.0,0.0,0.0,91.67,65.83,67.68,93.02,73.72,91.67,92.25,95.49,44.7,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,fl,-,-,-,0.5,77.46,69.55,1.28,96.18,86.14,82.63,96.66,89.29,96.18,85.53,96.36,97.95,73.12,0.0,0.0,0.0,93.97,73.67,75.0,94.74,80.83,93.97,94.29,96.75,58.18,0.0,0.0,0.0,91.95,66.36,68.04,92.82,71.78,91.95,92.33,95.67,43.43,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,fl,-,-,-,1.0,78.87,69.11,1.84,96.18,86.6,82.62,96.62,89.01,96.18,85.46,96.35,97.95,72.98,0.0,0.0,0.0,94.48,72.29,76.73,95.02,81.52,94.48,94.72,97.03,60.72,0.0,0.0,0.0,91.95,64.6,67.7,92.68,70.94,91.95,92.28,95.67,42.55,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,fl,-,-,-,2.0,77.65,68.19,2.26,95.9,83.83,81.95,96.2,86.2,95.9,83.91,96.02,97.8,70.02,0.0,0.0,0.0,94.14,72.29,75.53,94.76,80.5,94.14,94.4,96.85,58.45,0.0,0.0,0.0,91.95,65.66,67.31,92.43,69.26,91.95,92.18,95.68,40.69,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,fl,-,-,-,5.0,77.44,68.81,4.27,96.24,86.62,83.18,96.54,87.78,96.24,85.12,96.34,97.98,72.25,0.0,0.0,0.0,94.2,71.89,75.5,94.71,80.11,94.2,94.4,96.88,58.0,0.0,0.0,0.0,91.9,63.54,67.32,92.63,70.91,91.9,92.22,95.64,41.98,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_modifiedRS_oversampling,1.0,-,-,-,80.35,72.92,0.68,97.99,98.59,98.05,98.05,97.99,97.99,97.99,97.99,97.96,98.03,0.0,0.0,0.0,94.48,75.33,76.82,95.56,85.72,94.48,94.89,97.01,63.69,0.0,0.0,0.0,92.41,67.06,70.18,93.72,77.06,92.41,92.96,95.89,49.94,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_modifiedRS_oversampling,1.2,-,-,-,80.62,71.9,0.4,97.91,98.46,97.8,97.99,98.07,97.91,97.9,97.91,98.05,97.75,0.0,0.0,0.0,94.89,73.63,78.07,95.46,83.84,94.89,95.13,97.25,63.99,0.0,0.0,0.0,92.59,66.38,70.11,93.36,74.21,92.59,92.93,96.01,47.78,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_modifiedRS_oversampling,1.5,-,-,-,81.31,73.72,1.31,97.78,98.41,97.37,97.89,98.14,97.78,97.7,97.78,98.11,97.29,0.0,0.0,0.0,94.94,73.04,78.15,95.68,85.55,94.94,95.24,97.27,65.35,0.0,0.0,0.0,92.7,65.75,71.0,93.89,77.63,92.7,93.2,96.05,51.38,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_modifiedRS_oversampling,2.0,-,-,-,81.2,70.23,1.05,97.45,98.28,96.46,97.62,98.05,97.45,97.18,97.47,98.05,96.31,0.0,0.0,0.0,95.06,72.85,78.68,95.59,84.35,95.06,95.28,97.34,65.06,0.0,0.0,0.0,92.18,65.62,68.63,92.95,72.32,92.18,92.53,95.79,44.67,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_modifiedRS_oversampling,3.0,-,-,-,80.43,71.06,0.55,97.05,96.91,94.9,97.29,97.73,97.05,96.19,97.1,98.0,94.39,0.0,0.0,0.0,94.66,74.49,77.22,95.51,84.97,94.66,94.99,97.11,63.74,0.0,0.0,0.0,92.07,67.16,69.0,93.26,74.36,92.07,92.57,95.71,46.41,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_modifiedRS_oversampling,5.0,-,-,-,79.63,70.38,0.74,96.79,96.7,92.25,97.19,97.42,96.79,94.57,96.88,98.04,91.1,0.0,0.0,0.0,94.31,72.62,76.05,95.35,84.79,94.31,94.72,96.92,62.33,0.0,0.0,0.0,91.44,64.79,67.59,93.16,74.86,91.44,92.17,95.35,45.41,0.0,0.0,0.0
