data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,val_f1_macro,test_f1_macro,test_f1_macro_std,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,1.0,0.1,3,-,-,74.79,70.49,1.29,99.64,99.64,99.64,0.0,0.0,0.0,99.64,99.64,99.64,99.64,99.64,99.99,96.62,52.96,0.0,0.0,0.0,93.7,81.12,93.04,71.28,93.7,78.51,95.92,45.06,0.0,0.0,0.0,92.4,74.23,91.54,68.1,92.4,74.92
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,1.0,0.1,5,-,-,77.25,72.72,1.5,99.87,99.87,99.87,0.0,0.0,0.0,99.87,99.87,99.87,99.87,99.87,100.0,96.39,58.12,0.0,0.0,0.0,93.37,78.55,93.51,77.18,93.37,79.78,95.35,50.08,0.0,0.0,0.0,91.5,72.02,92.12,74.27,91.5,75.8
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,1.0,0.3,3,-,-,77.8,72.55,1.83,99.81,99.81,99.81,0.0,0.0,0.0,99.81,99.81,99.81,99.81,99.81,100.0,96.7,58.9,0.0,0.0,0.0,93.9,80.29,93.63,76.33,93.9,79.3,95.63,49.47,0.0,0.0,0.0,91.97,73.06,91.98,72.43,91.97,75.7
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,1.0,0.3,5,-,-,77.43,73.29,1.24,99.72,99.72,99.72,0.0,0.0,0.0,99.72,99.72,99.72,99.72,99.72,99.99,96.32,58.54,0.0,0.0,0.0,93.23,76.96,93.38,78.06,93.23,79.09,95.3,51.29,0.0,0.0,0.0,91.43,71.64,92.25,75.56,91.43,77.53
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,2.0,0.1,3,-,-,77.93,74.09,2.0,99.49,99.66,99.32,0.0,0.0,0.0,99.55,99.48,99.55,99.51,99.55,99.99,96.86,59.0,0.0,0.0,0.0,94.17,82.72,93.84,75.14,94.17,82.23,95.95,52.24,0.0,0.0,0.0,92.53,75.03,92.5,73.88,92.53,76.83
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,2.0,0.1,5,-,-,77.95,72.5,2.3,99.59,99.73,99.46,0.0,0.0,0.0,99.64,99.59,99.64,99.6,99.64,99.98,96.76,59.13,0.0,0.0,0.0,94.0,80.68,93.61,75.82,94.0,80.35,95.89,49.1,0.0,0.0,0.0,92.4,74.25,92.0,71.33,92.4,75.65
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,2.0,0.3,3,-,-,77.17,74.52,3.41,99.79,99.86,99.72,0.0,0.0,0.0,99.81,99.79,99.81,99.79,99.81,99.98,97.0,57.35,0.0,0.0,0.0,94.4,84.48,93.77,72.8,94.4,80.84,96.47,52.56,0.0,0.0,0.0,93.43,78.9,92.73,71.51,93.43,78.52
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,2.0,0.3,5,-,-,77.33,73.51,2.16,99.54,99.69,99.38,0.0,0.0,0.0,99.59,99.52,99.59,99.55,99.59,99.97,96.96,57.69,0.0,0.0,0.0,94.33,84.13,93.79,73.33,94.33,80.91,96.19,50.83,0.0,0.0,0.0,92.93,76.92,92.42,71.43,92.93,78.71
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,3.0,0.1,3,-,-,78.71,73.91,1.45,99.53,99.76,99.29,0.0,0.0,0.0,99.65,99.54,99.65,99.52,99.65,99.97,96.99,60.42,0.0,0.0,0.0,94.4,83.29,93.99,75.65,94.4,81.28,95.79,52.04,0.0,0.0,0.0,92.27,74.09,92.42,74.3,92.27,77.8
civil-comments,2,bin,5000,11.53,"{'0_non-toxic': 0.92, '1_toxic': 0.08}",augmentation_abusive_lexicon,-,-,3.0,0.1,5,-,-,78.59,74.75,2.35,99.6,99.8,99.4,0.0,0.0,0.0,99.7,99.63,99.7,99.57,99.7,99.96,96.69,60.48,0.0,0.0,0.0,93.9,79.63,93.72,77.66,93.9,79.58,95.96,53.53,0.0,0.0,0.0,92.57,74.79,92.59,74.85,92.57,76.57
