data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_mode,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.6000000238418579, 0.10000000149011612)",ignored,21,0.7560060620307922,0.7374459505081177,0.40449437499046326,0.9392437934875488,0.8685996532440186,0,0.8940891623497009,0.7357558012008667,0.8994905948638916,0.7414023876190186,0.8940891623497009,0.7407051920890808,6c466c0c7d9442e498c66706ba2f9bd0
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.4000000059604645, 0.5)",ignored,42,0.7701965570449829,0.7502671480178833,0.4137931168079376,0.9443867206573486,0.8926214575767517,0,0.9061932563781738,0.7547379732131958,0.9040353298187256,0.7462019920349121,0.9061932563781738,0.7560497522354126,007b1b758a0b4373aff141f6a3f92250
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,2.0,Loss.CE_Loss,ignored,ignored,0,0.7496968507766724,0.7330167293548584,0.4006410241127014,0.9338521361351013,0.8645569682121277,0,0.8892475366592407,0.7379661798477173,0.8948536515235901,0.7316598296165466,0.8892475366592407,0.7555100917816162,72a7e17fda7e44c1a591b87d74572a80
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.9000000357627869, 0.10000000149011612, 0.30000001192092896)",ignored,0,0.7683044075965881,0.7528557777404785,0.43895748257637024,0.9331543445587158,0.8864553570747375,0,0.8886423110961914,0.725357174873352,0.909211277961731,0.7960966229438782,0.8886423110961914,0.7576596736907959,dc5f3205045040b69cd378a50e7f9f33
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.6000000238418579, 0.10000000149011612)",ignored,42,0.726381778717041,0.6983068585395813,0.3044397532939911,0.9394170045852661,0.8510638475418091,0,0.8952995538711548,0.7396189570426941,0.8848298192024231,0.6698907613754272,0.8952996134757996,0.7412816882133484,aeb3f2ef63574563a21c3a8312fac048
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.9000000357627869, 0.10000000149011612, 0.30000001192092896)",ignored,21,0.7581644058227539,0.7562754154205322,0.45241379737854004,0.9339183568954468,0.8824940323829651,0,0.89005446434021,0.7361946105957031,0.9079853296279907,0.7906799912452698,0.89005446434021,0.7712486982345581,e030502fec5c4fca84f9c7fb71e911a7
davidson-thon,3,multi,label_multi,baseline,ignored,ignored,ignored,Loss.CE_Loss,ignored,ignored,0,0.732390820980072,0.7507129311561584,0.4033970236778259,0.9501737952232361,0.8985680341720581,0,0.9154730439186096,0.7819740772247314,0.9068928956985474,0.7325225472450256,0.9154731035232544,0.7631902694702148,3332bd4e5e14483094ea58407bef2862
davidson-thon,3,multi,label_multi,sampling_weightedRS,ignored,ignored,-0.5,Loss.CE_Loss,ignored,ignored,21,0.7474792003631592,0.7358770370483398,0.40100881457328796,0.9216564893722534,0.8849658370018005,0,0.8735122084617615,0.705906867980957,0.9046199321746826,0.7910106182098389,0.8735122084617615,0.7630741596221924,925c37b3974a4a058cad67ae919de069
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.4, 0.5)",ignored,21,0.7553876638412476,0.7463325262069702,0.4107142984867096,0.9451345801353455,0.8831488490104675,0,0.9047811031341553,0.7546493411064148,0.9032549858093262,0.7385266423225403,0.9047811031341553,0.7629469633102417,9d45829db360462fb8e37949ac3824bd
davidson-thon,3,multi,label_multi,wce,ignored,ignored,ignored,Loss.Weighted_CE_Loss,"(0.5, 0.6000000238418579, 0.20000000298023224)",ignored,0,0.7567404508590698,0.7533259391784668,0.426716148853302,0.9454451203346252,0.8878166675567627,0,0.9076054096221924,0.7623717784881592,0.904292643070221,0.7453821301460266,0.9076054096221924,0.765702486038208,6dd10bf17a6347f288c16bc5f820834b
