data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
davidson-thon,3,multi,label_multi,sampling_modifiedRS_undersampling,3.0,-,Loss.CE_Loss,-,-,0,0.775798499584198,0.7494989633560181,0.4133545458316803,0.9389485120773315,0.8961937427520752,0,0,0.8981238603591919,0.7320458292961121,0.9060115814208984,0.7703255414962769,0.8981238603591919,0.7561992406845093,ab7eb92593924f06be1f78877b529e13
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.1, 0.7, 0.9)",0.5,42,0.7122973203659058,0.7124074697494507,0.311557799577713,0.9471020102500916,0.8785625696182251,0,0,0.9104297161102295,0.794049859046936,0.8974044322967529,0.6809701919555664,0.9104297161102295,0.760289192199707,5fcd676895884c3d82725a39ff18ddf3
davidson-thon,3,multi,label_multi,wce,-,-,Loss.Weighted_CE_Loss,"(0.5, 0.6, 0.1)",-,21,0.7560060620307922,0.7374459505081177,0.40449437499046326,0.9392437934875488,0.8685996532440186,0,0,0.8940891623497009,0.7357558012008667,0.8994905948638916,0.7414023876190186,0.8940891623497009,0.7407051920890808,6c466c0c7d9442e498c66706ba2f9bd0
davidson-thon,3,multi,label_multi,sampling_modifiedRS_oversampling,2.0,-,Loss.CE_Loss,-,-,42,0.7586890459060669,0.7504185438156128,0.44145357608795166,0.9328031539916992,0.876998782157898,0,0,0.8868266940116882,0.7357548475265503,0.9067895412445068,0.7820842266082764,0.886826753616333,0.7574471831321716,b65f60f7b3ce466eaf58ebfda4e82c40
davidson-thon,3,multi,label_multi,sampling_modifiedRS_oversampling,1.0,-,Loss.CE_Loss,-,-,21,0.7533079385757446,0.7551751732826233,0.43288591504096985,0.9402045607566833,0.8924350142478943,0,0,0.9015533328056335,0.7471559047698975,0.9044747352600098,0.7638305425643921,0.9015533924102783,0.7641763687133789,d1bf546a36174ad7a310943a8b4d62f6
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.9, 0.1, 0.3)",0.1,42,0.7627692818641663,0.7568857073783875,0.43894898891448975,0.9398936033248901,0.8918145298957825,0,0,0.8987290859222412,0.7351512908935547,0.9090563058853149,0.7841565608978271,0.8987290859222412,0.7658765316009521,902ffc45367d47a4840ffa4c8ea026b5
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"tensor([1., 1., 1.])",5.0,0,0.7649067640304565,0.7508684396743774,0.43314501643180847,0.9431978464126587,0.8762626051902771,0,0,0.9051845669746399,0.7740141153335571,0.901313066482544,0.7311809062957764,0.9051845669746399,0.7628600001335144,796a7e6c49b4443293a2cee12a35e3c8
davidson-thon,3,multi,label_multi,sampling_modifiedRS_oversampling,5.0,-,Loss.CE_Loss,-,-,42,0.7599703073501587,0.7586846351623535,0.4434782564640045,0.9381210803985596,0.8944543600082397,0,0,0.8963082432746887,0.7405911684036255,0.910159170627594,0.7858935594558716,0.8963082432746887,0.7621423006057739,c1818478e053485888b0e5cbfcb5c6e7
davidson-thon,3,multi,label_multi,sampling_modifiedRS_oversampling,1.2,-,Loss.CE_Loss,-,-,42,0.749048113822937,0.7433774471282959,0.4101748764514923,0.9378190636634827,0.8821384906768799,0,0,0.8950978517532349,0.7371552586555481,0.9014102220535278,0.7519654035568237,0.8950978517532349,0.7559158205986023,e529d3cf7e9f429ab885959365839740
davidson-thon,3,multi,label_multi,sampling_modifiedRS_oversampling,5.0,-,Loss.CE_Loss,-,-,0,0.7603002190589905,0.7595430612564087,0.4534534513950348,0.9373769164085388,0.8877989053726196,0,0,0.8967117071151733,0.7497769594192505,0.9068264365196228,0.7757638692855835,0.8967117071151733,0.7705804705619812,42e3261c681a483e8039b035cbcc7201
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.9, 0.1, 0.3)",0.5,42,0.7665932178497314,0.76007080078125,0.44545453786849976,0.9424861073493958,0.8922716379165649,0,0,0.9007464051246643,0.7409709692001343,0.9115405678749084,0.7850919961929321,0.9007464051246643,0.7566902041435242,4be1cd9909a347c68449c2b024d9ac58
davidson-thon,3,multi,label_multi,sampling_modifiedRS_undersampling,7.5,-,Loss.CE_Loss,-,-,21,0.7680174112319946,0.7578611373901367,0.440559446811676,0.943228006362915,0.8897958993911743,0,0,0.90498286485672,0.7516552805900574,0.9058156609535217,0.7645775675773621,0.90498286485672,0.7684547305107117,a2d59a3f5406439aa59506714c563e0d
