data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.888,1.0,0,0.8100805282592773,0.7733500599861145,0.9483394622802734,0.5983606576919556,0,0,0,0.9084540009498596,0.7685955166816711,0.9101564288139343,0.7783625721931458,0.9084540009498596,0.8042551279067993,de566e2acacd487f910add18157a4957
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.9,1.0,0,0.8064746856689453,0.7810834646224976,0.9459099173545837,0.6162570714950562,0,0,0,0.9051845073699951,0.7605050206184387,0.9146382212638855,0.807618260383606,0.9051845073699951,0.8195698261260986,20ab29f283b24b5c974a144fa961ce88
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.99,5.0,42,0.7933528423309326,0.756779670715332,0.9394505023956299,0.5741088390350342,0,0,0,0.893974781036377,0.736923098564148,0.9050988554954529,0.7830173969268799,0.893974781036377,0.7878808379173279,57581947296840ac89a23e0f6753feb2
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.888,5.0,21,0.8011935949325562,0.7679823637008667,0.9470076560974121,0.5889570713043213,0,0,0,0.906118631362915,0.7628810405731201,0.9080389738082886,0.7733898162841797,0.906118631362915,0.8129576444625854,909b1ada46c946da83e22b87a9cda118
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.25,5.0,21,0.7812804579734802,0.7589818239212036,0.9511434435844421,0.5668202638626099,0,0,0,0.9121905565261841,0.7855799198150635,0.9058274626731873,0.7383947372436523,0.9121905565261841,0.7940089106559753,d2993b814d604ca28dd630f53f2fdd06
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.75,0.1,21,0.7924716472625732,0.7664726972579956,0.9390276670455933,0.593917727470398,0,0,0,0.893974781036377,0.739331066608429,0.9106651544570923,0.8067966103553772,0.893974781036377,0.8059849739074707,d8173dcd67d641338601a9c482cd593e
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.888,5.0,0,0.7832403182983398,0.7661037445068359,0.9415532350540161,0.590654194355011,0,0,0,0.8977113366127014,0.7449406385421753,0.9089546799659729,0.7942663431167603,0.8977113366127014,0.8028779029846191,ff06d664fac94fe0baaa98522a61b7d0
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.25,2.0,0,0.778156042098999,0.7333626747131348,0.9485655426979065,0.518159806728363,0,0,0,0.907052755355835,0.7739176750183105,0.89739990234375,0.7062363028526306,0.907052755355835,0.773489236831665,b5db1f83a93b4b43bb0080584e6d508b
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.888,0.5,0,0.7882412672042847,0.7691822648048401,0.9401663541793823,0.5981981754302979,0,0,0,0.8958430886268616,0.742658257484436,0.911476194858551,0.8078481554985046,0.8958430290222168,0.8185086846351624,8959d66fedc94eed927680a1c599ee1a
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.888,2.0,0,0.7937945127487183,0.7767035365104675,0.9404473304748535,0.6129597425460815,0,0,0,0.8967772126197815,0.7458648681640625,0.9157817959785461,0.8248364329338074,0.8967772126197815,0.8132801651954651,c2053a385c8641d1ae326839a8d749d3
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.75,0.5,21,0.8086755275726318,0.7661120295524597,0.9476729035377502,0.5845511555671692,0,0,0,0.907052755355835,0.7656277418136597,0.907223105430603,0.7665989398956299,0.907052755355835,0.8012903928756714,c3799b4d379844bc9a2111277ceaf234
gibert-2018-shs,2,bin,label,sampling_modifiedRS_oversampling,2.0,-,Loss.CE_Loss,-,-,21,0.7864301800727844,0.7643822431564331,0.9498170614242554,0.5789473652839661,0,0,0,0.9103223085403442,0.7763408422470093,0.9068687558174133,0.7538057565689087,0.9103223085403442,0.7931163907051086,4ee94f59cbd04f2fb08a9da87db7b1a9
gibert-2018-shs,2,bin,label,baseline,-,-,Loss.CE_Loss,-,-,21,0.7956506013870239,0.7706186175346375,0.9394673109054565,0.6017699241638184,0,0,0,0.8949089050292969,0.7417279481887817,0.9128091335296631,0.8146390914916992,0.8949089050292969,0.8055741786956787,13fa17f3c0ee475e949d099f2c8d0122
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.888,0.1,42,0.7898158431053162,0.7612990140914917,0.9395722150802612,0.5830258131027222,0,0,0,0.8944418430328369,0.7386912107467651,0.9074295163154602,0.7924261689186096,0.8944418430328369,0.8075432777404785,1ce02a094daa436fa5de59de8460d71d
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.1,0.1,0,0.7671815156936646,0.7299845218658447,0.9469049572944641,0.5130641460418701,0,0,0,0.9042503237724304,0.7632678747177124,0.8952059149742126,0.7064882516860962,0.9042503237724304,0.7421313524246216,174790b695cf4a3088ebf62678847c7a
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.99,0.1,42,0.7805038690567017,0.7511073350906372,0.9275758266448975,0.574638843536377,0,0,0,0.8762260675430298,0.7159983515739441,0.9100687503814697,0.8205863237380981,0.876226007938385,0.8097938299179077,c585d366a964470db0f5b70fade85883
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.9,0.2,21,0.8010116815567017,0.7718515396118164,0.9477847814559937,0.5959183573722839,0,0,0,0.9075198769569397,0.7662334442138672,0.909588634967804,0.777836799621582,0.9075198173522949,0.8089613318443298,5f71911f23d54911a3d4ebd7192e98df
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.1,1.0,42,0.7653921246528625,0.7115088105201721,0.9473143219947815,0.47570332884788513,0,0,0,0.9042503237724304,0.769219160079956,0.8914601802825928,0.6790506839752197,0.9042503833770752,0.767957329750061,06e2180279644abf97bdfdda0b0e71cb
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.75,5.0,0,0.7838237285614014,0.7747443318367004,0.9530761241912842,0.5964125394821167,0,0,0,0.9159271121025085,0.7938517332077026,0.911403238773346,0.7587894797325134,0.9159271121025085,0.8001368641853333,20af0289946f43f49670147bc74af3ea
gibert-2018-shs,2,bin,label,wfl,-,-,Loss.Weighted_Focal_Loss,0.25,0.1,21,0.7757871150970459,0.7623410224914551,0.9441651105880737,0.5805168747901917,0,0,0,0.9014478921890259,0.7517415881156921,0.9060885310173035,0.7744193077087402,0.9014478921890259,0.7954378128051758,e8092f179ad946839881dcb89d1da4d3
